ticker,asset_class,month,monthly_return,rolling_12m_average_return,absolute_move_rank
EEM,Emerging-market equities,2022-05,0.006134980394939982,-0.018782889676028047,5
SPY,US equities,2022-05,0.0022572113680126016,0.0006825973111913297,6
EWC,Canadian equities,2022-06,-0.10320819619444588,-0.0054613848524490876,1
EFA,Developed international equities,2022-06,-0.08766642387753976,-0.015050895816754792,2
SPY,US equities,2022-06,-0.08246056834605642,-0.008058064533529261,3
EEM,Emerging-market equities,2022-06,-0.051576703586670436,-0.023872950072976722,4
GLD,Gold,2022-06,-0.015659647164074086,0.0017800995462910845,5
AGG,US aggregate bonds,2022-06,-0.015530241467141326,-0.008876987574371201,6
SPY,US equities,2022-07,0.09208751105266999,-0.0024184871010936118,1
EFA,Developed international equities,2022-07,0.05168818626619842,-0.011387999111516287,2
EWC,Canadian equities,2022-07,0.0483965996805622,-0.0015624772895878232,3
GLD,Gold,2022-07,-0.025881519760354688,-0.0024848071691895754,4
AGG,US aggregate bonds,2022-07,0.025380851072040134,-0.007692412512478024,5
EEM,Emerging-market equities,2022-07,-0.0034913125784209464,-0.018799732202321146,6
EFA,Developed international equities,2022-08,-0.0611685068190716,-0.017690966661535985,1
EWC,Canadian equities,2022-08,-0.04587933629055352,-0.005408076863173007,2
SPY,US equities,2022-08,-0.04080200764680619,-0.008298643137643447,3
AGG,US aggregate bonds,2022-08,-0.03042267054879677,-0.010060654832359434,4
GLD,Gold,2022-08,-0.0294332835064004,-0.004873785308010942,5
EEM,Emerging-market equities,2022-08,-0.013263088640172116,-0.02121312297658672,6
EEM,Emerging-market equities,2022-09,-0.11539455854016523,-0.027601588473247046,1
SPY,US equities,2022-09,-0.09244577344949312,-0.012118661457196348,2
EFA,Developed international equities,2022-09,-0.09222055076189573,-0.022658184657804104,3
EWC,Canadian equities,2022-09,-0.08696940805429654,-0.01033451552650839,4
AGG,US aggregate bonds,2022-09,-0.04145048775412752,-0.01275051245695378,5
GLD,Gold,2022-09,-0.028881810036245126,-0.004594331308325705,6
SPY,US equities,2022-10,0.08127562876183969,-0.011192661054683695,1
EWC,Canadian equities,2022-10,0.07379693363471596,-0.01079634277791052,2
EFA,Developed international equities,2022-10,0.05891816952320417,-0.020397565513126114,3
EEM,Emerging-market equities,2022-10,-0.01978202750706537,-0.03014330309890594,4
GLD,Gold,2022-10,-0.017844404446168083,-0.00731446338894548,5
AGG,US aggregate bonds,2022-10,-0.012784408297221828,-0.013808604482468437,6
EEM,Emerging-market equities,2022-11,0.1558935229229299,-0.013748134310744842,1
EFA,Developed international equities,2022-11,0.13168093906453548,-0.005645207900736786,2
GLD,Gold,2022-11,0.08491866012984906,0.00033714614802984877,3
EWC,Canadian equities,2022-11,0.06539527656978739,-0.0015182584494557079,4
SPY,US equities,2022-11,0.05559133722251941,-0.005890484938564783,5
AGG,US aggregate bonds,2022-11,0.038084441925364976,-0.010860590525898753,6
SPY,US equities,2022-12,-0.057628247477658934,-0.014546809153233383,1
